"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-01-21","2017","01","21","†","6.0","","1.0","","3.5","","14.5","","0.0","","3.4","","0.0","","3.4","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-01-22","2017","01","22","†","6.0","","3.0","","4.5","","13.5","","0.0","","7.6","","0.0","","7.6","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-01-23","2017","01","23","†","9.0","","-0.5","","4.3","","13.7","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-01-24","2017","01","24","†","5.0","","-1.5","","1.8","","16.2","","0.0","","0.6","","0.0","","0.6","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-01-25","2017","01","25","†","5.0","","1.0","","3.0","","15.0","","0.0","","1.4","","0.0","","1.4","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-01-26","2017","01","26","†","7.0","","3.0","","5.0","","13.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-01-27","2017","01","27","†","7.5","","4.5","","6.0","","12.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-01-28","2017","01","28","†","8.5","","3.5","","6.0","","12.0","","0.0","","3.2","","0.0","","3.2","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-01-29","2017","01","29","†","9.0","","6.0","","7.5","","10.5","","0.0","","4.0","","0.0","","4.0","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-01-30","2017","01","30","†","5.0","","-0.5","","2.3","","15.7","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-01-31","2017","01","31","†","5.5","","-3.5","","1.0","","17.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-02-01","2017","02","01","†","5.5","","-5.5","","0.0","","18.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-02-02","2017","02","02","†","5.0","","-8.0","","-1.5","","19.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-02-03","2017","02","03","†","0.0","","-5.0","","-2.5","","20.5","","0.0","","0.0","","19.0","","19.0","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-02-04","2017","02","04","†","1.0","","-1.0","","0.0","","18.0","","0.0","","0.0","","17.0","","17.0","","17","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-02-05","2017","02","05","†","0.0","","-2.0","","-1.0","","19.0","","0.0","","0.0","","6.0","","6.0","","31","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-02-06","2017","02","06","†","-1.5","","-7.5","","-4.5","","22.5","","0.0","","0.0","","5.0","","5.0","","28","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-02-07","2017","02","07","†","1.0","","-3.0","","-1.0","","19.0","","0.0","","0.0","","0.0","T","0.0","T","30","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-02-08","2017","02","08","†","1.0","","-3.0","","-1.0","","19.0","","0.0","","0.0","","32.0","","32.0","","25","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-02-09","2017","02","09","","","","","","","","","","","","","","","","","","","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-02-10","2017","02","10","†","8.0","","-0.5","","3.8","","14.2","","0.0","","2.8","","0.0","","2.8","","55","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-02-11","2017","02","11","†","5.0","","-2.0","","1.5","","16.5","","0.0","","0.0","","0.0","","0.0","","49","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-02-12","2017","02","12","†","6.0","","0.0","","3.0","","15.0","","0.0","","0.0","","0.0","","0.0","","45","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-02-13","2017","02","13","†","10.0","","-2.0","","4.0","","14.0","","0.0","","0.0","","0.0","","0.0","","38","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-02-14","2017","02","14","†","6.5","","-1.5","","2.5","","15.5","","0.0","","17.8","","0.0","","17.8","","34","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-02-15","2017","02","15","","","","","","","","","","","","","","","","","","","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-02-16","2017","02","16","†","8.0","","2.5","","5.3","","12.7","","0.0","","0.0","T","0.0","","0.0","T","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-02-17","2017","02","17","†","9.0","","0.0","","4.5","","13.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-02-18","2017","02","18","†","7.5","","-1.0","","3.3","","14.7","","0.0","","8.6","","0.0","","8.6","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-02-19","2017","02","19","†","4.5","","2.5","","3.5","","14.5","","0.0","","17.2","","0.0","","17.2","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-02-20","2017","02","20","†","8.0","","0.5","","4.3","","13.7","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-02-21","2017","02","21","†","9.0","","-2.0","","3.5","","14.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-02-22","2017","02","22","†","6.5","","-2.5","","2.0","","16.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-02-23","2017","02","23","†","6.5","","-3.0","","1.8","","16.2","","0.0","","0.0","","0.0","T","0.0","T","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-02-24","2017","02","24","†","4.5","","-1.0","","1.8","","16.2","","0.0","","0.0","","0.0","T","0.0","T","0","T","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-02-25","2017","02","25","†","5.0","","-3.5","","0.8","","17.2","","0.0","","0.0","","8.0","","8.0","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-02-26","2017","02","26","†","6.0","","-3.5","","1.3","","16.7","","0.0","","0.0","","0.0","","0.0","","8","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-02-27","2017","02","27","†","4.5","","-4.0","","0.3","","17.7","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-02-28","2017","02","28","†","4.0","","-5.0","","-0.5","","18.5","","0.0","","0.6","","0.0","","0.6","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-03-01","2017","03","01","","","","","","","","","","","","","","","","","","","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-03-02","2017","03","02","†","7.5","","3.0","","5.3","","12.7","","0.0","","1.2","","0.0","","1.2","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-03-03","2017","03","03","†","7.0","","-1.0","","3.0","","15.0","","0.0","","1.8","","0.0","","1.8","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-03-04","2017","03","04","†","5.0","","-9.5","","-2.3","","20.3","","0.0","","1.0","","0.0","","1.0","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-03-05","2017","03","05","†","4.0","","-2.0","","1.0","","17.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-03-06","2017","03","06","†","6.0","","-2.5","","1.8","","16.2","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-03-07","2017","03","07","†","4.5","","-3.0","","0.8","","17.2","","0.0","","2.0","","0.0","","2.0","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-03-08","2017","03","08","†","4.5","","-3.5","","0.5","","17.5","","0.0","","1.0","","0.0","","1.0","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-03-09","2017","03","09","†","2.0","","-3.5","","-0.8","","18.8","","0.0","","11.2","","4.0","","15.2","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-03-10","2017","03","10","†","5.5","","0.0","","2.8","","15.2","","0.0","","2.0","","1.0","","3.0","","4","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-03-11","2017","03","11","†","6.0","","2.0","","4.0","","14.0","","0.0","","7.0","","0.0","","7.0","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-03-12","2017","03","12","†","8.5","","1.0","","4.8","","13.2","","0.0","","9.8","","0.0","","9.8","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-03-13","2017","03","13","†","8.5","","7.0","","7.8","","10.2","","0.0","","14.2","","0.0","","14.2","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-03-14","2017","03","14","†","12.5","","8.0","","10.3","","7.7","","0.0","","0.8","","0.0","","0.8","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-03-15","2017","03","15","†","8.5","","0.0","","4.3","","13.7","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-03-16","2017","03","16","†","9.0","","-0.5","","4.3","","13.7","","0.0","","0.6","","0.0","","0.6","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-03-17","2017","03","17","†","8.5","","2.0","","5.3","","12.7","","0.0","","10.6","","0.0","","10.6","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-03-18","2017","03","18","†","9.5","","3.0","","6.3","","11.7","","0.0","","0.6","","0.0","","0.6","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-03-19","2017","03","19","†","9.0","","-2.0","","3.5","","14.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-03-20","2017","03","20","†","11.0","","-3.0","","4.0","","14.0","","0.0","","2.2","","0.0","","2.2","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-03-21","2017","03","21","†","10.0","","3.0","","6.5","","11.5","","0.0","","3.4","","0.0","","3.4","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-03-22","2017","03","22","","","","","","","","","","","","","","","","","","","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-03-23","2017","03","23","†","8.0","","1.5","","4.8","","13.2","","0.0","","19.2","","0.0","","19.2","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-03-24","2017","03","24","†","9.5","","6.0","","7.8","","10.2","","0.0","","1.4","","0.0","","1.4","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-03-25","2017","03","25","†","10.5","","0.0","","5.3","","12.7","","0.0","","6.0","","0.0","","6.0","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-03-26","2017","03","26","†","7.0","","2.5","","4.8","","13.2","","0.0","","20.8","","0.0","","20.8","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-03-27","2017","03","27","†","10.5","","5.5","","8.0","","10.0","","0.0","","5.2","","0.0","","5.2","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-03-28","2017","03","28","†","8.5","","6.5","","7.5","","10.5","","0.0","","25.6","","0.0","","25.6","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-03-29","2017","03","29","","","","","","","","","","","","","","","","","","","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-03-30","2017","03","30","†","13.0","","1.0","","7.0","","11.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-03-31","2017","03","31","†","8.5","","3.0","","5.8","","12.2","","0.0","","0.8","","0.0","","0.8","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-04-01","2017","04","01","†","10.0","","-1.0","","4.5","","13.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-04-02","2017","04","02","†","12.0","","0.0","","6.0","","12.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-04-03","2017","04","03","†","10.5","","-1.0","","4.8","","13.2","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-04-04","2017","04","04","†","9.5","","3.5","","6.5","","11.5","","0.0","","19.6","","0.0","","19.6","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-04-05","2017","04","05","†","13.5","","6.0","","9.8","","8.2","","0.0","","25.4","","0.0","","25.4","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-04-06","2017","04","06","","","","","","","","","","","","","","","","","","","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-04-07","2017","04","07","†","9.5","","","M","","M","","M","","M","18.2","","0.0","","18.2","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-04-08","2017","04","08","†","9.5","","5.0","","7.3","","10.7","","0.0","","1.6","","0.0","","1.6","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-04-09","2017","04","09","","","","","","","","","","","","","","","","","","","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-04-10","2017","04","10","","","","","","","","","","","","","","","","","","","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-04-11","2017","04","11","†","12.0","","3.5","","7.8","","10.2","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-04-12","2017","04","12","†","8.5","","3.5","","6.0","","12.0","","0.0","","17.4","","0.0","","17.4","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-04-13","2017","04","13","†","10.0","","6.0","","8.0","","10.0","","0.0","","3.2","","0.0","","3.2","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-04-14","2017","04","14","†","11.0","","3.5","","7.3","","10.7","","0.0","","6.0","","0.0","","6.0","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-04-15","2017","04","15","†","12.0","","4.5","","8.3","","9.7","","0.0","","0.4","","0.0","","0.4","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-04-16","2017","04","16","†","13.0","","0.5","","6.8","","11.2","","0.0","","2.0","","0.0","","2.0","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-04-17","2017","04","17","","","","","","","","","","","","","","","","","","","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-04-18","2017","04","18","†","13.0","","7.0","","10.0","","8.0","","0.0","","8.4","","0.0","","8.4","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-04-19","2017","04","19","†","12.5","","7.5","","10.0","","8.0","","0.0","","8.8","","0.0","","8.8","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-04-20","2017","04","20","†","16.0","","7.0","","11.5","","6.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-04-21","2017","04","21","†","15.5","","3.5","","9.5","","8.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-04-22","2017","04","22","†","13.0","","6.0","","9.5","","8.5","","0.0","","4.8","","0.0","","4.8","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-04-23","2017","04","23","†","13.5","","5.5","","9.5","","8.5","","0.0","","4.6","","0.0","","4.6","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-04-24","2017","04","24","†","16.0","","6.5","","11.3","","6.7","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-04-25","2017","04","25","†","13.5","","6.5","","10.0","","8.0","","0.0","","3.4","","0.0","","3.4","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-04-26","2017","04","26","†","16.0","","7.5","","11.8","","6.2","","0.0","","4.2","","0.0","","4.2","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-04-27","2017","04","27","†","14.0","","3.5","","8.8","","9.2","","0.0","","0.8","","0.0","","0.8","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-04-28","2017","04","28","†","14.5","","2.5","","8.5","","9.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-04-29","2017","04","29","†","11.0","","6.5","","8.8","","9.2","","0.0","","8.8","","0.0","","8.8","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-04-30","2017","04","30","†","14.0","","1.0","","7.5","","10.5","","0.0","","4.4","","0.0","","4.4","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-05-01","2017","05","01","†","12.0","","5.5","","8.8","","9.2","","0.0","","1.4","","0.0","","1.4","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-05-02","2017","05","02","†","12.0","","4.0","","8.0","","10.0","","0.0","","15.6","","0.0","","15.6","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-05-03","2017","05","03","†","13.5","","9.0","","11.3","","6.7","","0.0","","6.4","","0.0","","6.4","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-05-04","2017","05","04","†","19.5","","11.0","","15.3","","2.7","","0.0","","3.0","","0.0","","3.0","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-05-05","2017","05","05","†","16.5","","11.0","","13.8","","4.2","","0.0","","0.4","","0.0","","0.4","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-05-06","2017","05","06","†","14.0","","1.5","","7.8","","10.2","","0.0","","0.0","T","0.0","","0.0","T","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-05-07","2017","05","07","†","16.0","","3.0","","9.5","","8.5","","0.0","","2.2","","0.0","","2.2","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-05-08","2017","05","08","†","15.5","","8.0","","11.8","","6.2","","0.0","","0.8","","0.0","","0.8","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-05-09","2017","05","09","","","","","","","","","","","","","","","","","","","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-05-10","2017","05","10","","","","","","","","","","","","","","","","","","","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-05-11","2017","05","11","†","13.5","","9.0","","11.3","","6.7","","0.0","","2.0","","0.0","","2.0","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-05-12","2017","05","12","","","","","","","","","","","","","","","","","","","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-05-13","2017","05","13","†","14.0","","6.5","","10.3","","7.7","","0.0","","0.6","","0.0","","0.6","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-05-14","2017","05","14","†","14.0","","5.5","","9.8","","8.2","","0.0","","3.6","","0.0","","3.6","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-05-15","2017","05","15","†","12.5","","8.0","","10.3","","7.7","","0.0","","46.4","","0.0","","46.4","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-05-16","2017","05","16","†","17.5","","3.0","","10.3","","7.7","","0.0","","0.0","T","0.0","","0.0","T","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-05-17","2017","05","17","†","15.0","","5.0","","10.0","","8.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-05-18","2017","05","18","†","16.5","","9.0","","12.8","","5.2","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-05-19","2017","05","19","","","","","","","","","","","","","","","","","","","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-05-20","2017","05","20","†","23.0","","7.0","","15.0","","3.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-05-21","2017","05","21","†","24.0","","8.5","","16.3","","1.7","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-05-22","2017","05","22","†","26.5","","10.0","","18.3","","0.0","","0.3","","0.0","","0.0","","0.0","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-05-23","2017","05","23","†","24.0","","10.5","","17.3","","0.7","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-125.30","50.02","QUINSAM RIVER HATCHERY","1026639","2017-05-24","2017","05","24","†","18.0","","6.5","","12.3","","5.7","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
